,YoB,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,has_dependents,per_net_purchase,gender,education,marital_status,description,age,spent_online,oh_education_2nd Cycle,oh_education_Graduation,oh_education_Master,oh_education_OldSchool,oh_education_PhD,oh_gender_M,oh_description_Kind of OK,oh_description_Meh...,oh_description_OK nice!,oh_description_Take my money!!,oh_has_dependents_1.0,oh_marital_status_Married,oh_marital_status_Single,oh_marital_status_Together,oh_marital_status_Whatever,oh_marital_status_Widow
0,1946,0.7564883557152244,1.2062853593556497,0.050606850921884654,1402,-0.574129415316252,-0.25990731722452864,1.2296366167492727,0.3739411751761225,-0.4985886942097721,False,-1.266793495445899,M,Graduation,Together,Take my money!!,1.1598146530516409,0.5372951335937496,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1936,1.5646817995312363,1.1145660426058999,-0.8095104692640775,1537,0.19441336502873857,-0.769610589798235,0.7529065039676988,-0.3832539401718822,-0.625456548700455,False,-1.807488509630071,F,PhD,Divorced,Take my money!!,1.737996686446028,-0.22440757075891968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,-1.5123836484655293,-0.8115396091388449,0.09361271693118277,44,-0.7876135209676381,1.524054136783444,-0.35946375918930706,-0.7618514978458846,2.165636250094569,True,0.8959865612907881,M,Graduation,Married,Kind of OK,-1.3841862938836618,-0.8928381282607507,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1955,0.857835035936566,0.5642501421074013,-0.7521693145850135,888,0.40789747068012483,0.37722177349260444,-0.756738853173952,-0.13085556838921394,-0.2448529852284063,True,-0.40168147275122423,F,Master,Married,OK nice!,0.6394508229966926,0.8015265598127702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1955,0.795370015032842,1.0228467258561502,-0.5228046958687568,1138,0.36520064954984754,-0.25990731722452864,-0.041643684001591096,-0.3832539401718822,-0.3717208397190892,True,-0.4557509741696414,F,Graduation,Together,Take my money!!,0.6394508229966926,1.25432476250957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1982,-1.728885448665871,-0.5363816588895957,0.03627156225211862,56,-0.14716120401347943,-0.6421847716548085,1.5474566919369888,-0.6356523119545504,-0.7523244031911379,True,1.3285425726381255,M,PhD,Single,OK nice!,-0.9216406671681521,-0.8240737138732703,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,1969,-0.0174020167028144,-0.16950439189059663,0.15095387161024693,345,0.8775625031131745,-0.005055680937675411,-1.233468965955526,-0.7618514978458846,0.13575057824364245,True,0.19308304285136477,M,Graduation,Together,OK nice!,-0.17000402375544907,-0.10323705855537531,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,1960,-0.04948847013968947,-1.3618555096373435,-0.26476949981296816,41,1.4326211778067788,-0.769610589798235,-1.312923984752455,-0.6356523119545504,-0.8791922576818209,True,-0.29354246991438987,M,Graduation,Together,Horrible,0.3503598062994992,-0.9570222140082346,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,1940,1.436626689778634,0.9311274091064003,0.179624448949779,1401,-0.5314325941859747,0.2497959553491778,0.5145414475769118,0.24774198928478838,0.26261843273432534,False,-1.3749324982827336,M,Graduation,Divorced,OK nice!,1.506723873088273,0.3694885479647858,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1994,-1.6758319695969721,-1.086697559388094,1.2977769651915299,19,-1.3853690167915196,6.111383589946802,-0.91564889076781,0.3739411751761225,-0.7523244031911379,True,-0.1854034670775555,F,1st Cycle,Together,Meh...,-1.6154591072414164,-1.0031824091333943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
